TRANSACTION_ID,DATE,PLAYER_ID,PLAYER_AGE,PLAYER_GENDER,HOME_COUNTRY,HOME_CITY,GAME_CATEGORY,GAME_NAME,TABLE_MINIMUM_BET,IS_PREMIUM_PLAYER,DURATION_SPENT,CHIPS_WON_OR_LOST,NUMBER_OF_DAYS_SPENT_IN_CASINO,STAYED_AT_CASINO_HOTEL,AMOUNT_SPENT_IN_HOTEL_STAY,NUMBER_OF_DAYS_SPENT_IN_HOTEL,NUMBER_OF_RESTAURANT_VISITS,AMOUNT_SPENT_IN_CASINO_RESTAURANT,NUMBER_OF_CONCIERGE_VISITS,AMOUNT_SPENT_IN_SPA,NUMBER_OF_SPA_VISITS,IS_LOYALTY_CARD_HOLDER,REVENUE_MADE_BY_CASINO_FROM_PLAYER
1,18-09-2021,5391,76,Male,India,Chennai,Speciality Number Games,Wheel of Fortune,206.95,TRUE,6.6,-718,19,FALSE,0,0,6,245.81,1,480.88,2,FALSE,1444.69
2,30-07-2024,6091,54,Male,India,Chennai,Table games,Craps,407.03,FALSE,5.87,40,1,FALSE,0,0,7,300.22,9,797.16,0,FALSE,1057.38
3,09-08-2022,1551,64,Female,India,Bangalore,Table games,Roulette,392.38,TRUE,1.35,-514,1,FALSE,0,0,0,362.81,3,984.54,1,FALSE,1861.35
4,30-05-2023,8568,79,Female,India,Bangalore,Slot games,Video Slots,227.87,FALSE,2.96,-992,22,TRUE,4579.21,22,0,244.51,8,444.11,0,FALSE,6259.83
5,06-10-2023,6877,67,Female,US,Dallas,Table games,Poker,90.12,FALSE,5.55,645,26,TRUE,4362.35,26,3,473.64,2,787.09,0,FALSE,4978.08
6,02-04-2022,8989,75,Male,India,Surat,Speciality Number Games,Keno,160.04,FALSE,4.85,962,9,FALSE,0,0,4,402.89,1,519.69,3,FALSE,-39.42
7,09-06-2024,2970,44,Male,US,San Jose,Speciality Number Games,Keno,147.38,TRUE,4.58,143,20,FALSE,0,0,0,232.25,3,129.89,3,FALSE,219.14
8,05-06-2022,1706,60,Female,Singapore,Singapore,Slot games,Video Slots,403.61,FALSE,1.45,961,2,TRUE,1655.67,2,1,79.43,2,290.31,2,FALSE,1064.41
9,11-02-2024,7421,77,Female,India,Ahmedabad,Speciality Number Games,Keno,225.57,FALSE,7.59,622,14,FALSE,0,0,1,261.85,5,943.39,4,FALSE,583.24
10,08-11-2023,8834,74,Male,India,Jaipur,Slot games,Classic Slots,493.71,FALSE,1.22,226,5,FALSE,0,0,0,437.34,7,279.11,4,FALSE,490.45
11,08-05-2022,9379,69,Female,India,Surat,Slot games,Classic Slots,345.99,FALSE,7.43,835,11,FALSE,0,0,3,484.35,6,728.38,3,FALSE,377.73
12,13-09-2022,2241,72,Male,Singapore,Singapore,Speciality Number Games,Keno,387.75,FALSE,3.49,-145,5,TRUE,2831.53,5,5,296.62,6,753.35,3,FALSE,4026.5
13,14-12-2022,3315,72,Male,UK,Bristol,Speciality Number Games,Keno,358.33,TRUE,2.26,56,17,FALSE,0,0,5,345.75,1,421.73,4,FALSE,711.48
14,10-04-2024,9901,53,Male,UK,Edinburgh,Speciality Number Games,Keno,101.18,FALSE,2.56,-735,28,TRUE,3871.27,28,5,340.57,4,205.24,2,FALSE,5152.08
15,30-03-2024,5379,72,Female,UK,Glasgow,Slot games,Video Slots,343.91,TRUE,2.68,-973,24,TRUE,1485.2,24,5,206.24,7,778.29,1,FALSE,3442.73
16,18-11-2022,5870,70,Male,US,New York,Speciality Number Games,Wheel of Fortune,36.51,FALSE,2.52,430,29,FALSE,0,0,1,417.76,8,746.32,3,FALSE,734.08
17,03-08-2024,326,79,Female,Singapore,Singapore,Table games,Craps,493.64,FALSE,5.7,431,7,TRUE,3471.12,7,6,471.72,0,129.47,2,TRUE,3641.31
18,12-02-2023,984,44,Female,Singapore,Singapore,Table games,Poker,918.3,FALSE,6.28,-235,3,TRUE,3666.73,3,3,289.1,4,908.16,3,FALSE,5098.99
19,10-01-2024,7235,76,Male,India,Surat,Slot games,Classic Slots,378.5,FALSE,5.64,769,15,FALSE,0,0,6,343.3,2,797.76,3,TRUE,372.06
20,25-10-2022,8640,61,Female,US,Chicago,Speciality Number Games,Wheel of Fortune,704.84,TRUE,4.91,69,9,FALSE,0,0,3,242.28,4,770.35,4,FALSE,943.63
21,09-05-2022,3303,79,Male,US,Dallas,Table games,Poker,498.74,FALSE,3.9,-199,16,TRUE,3218.7,16,5,351.32,8,87.73,2,FALSE,3856.75
22,09-08-2023,5219,59,Female,India,Delhi,Speciality Number Games,Bingo,627.92,TRUE,7.56,-288,16,TRUE,4126.48,16,6,115.4,2,422.69,1,TRUE,4952.57
23,15-03-2022,3231,71,Male,India,Bangalore,Table games,Roulette,408.17,TRUE,2.88,-580,26,FALSE,0,0,5,330.19,2,853.19,4,FALSE,1763.38
24,03-06-2024,8519,45,Male,UK,Cardiff,Slot games,3D Slots,510,FALSE,7.9,662,26,TRUE,364.83,26,2,129.78,7,927.15,4,FALSE,759.76
25,01-04-2022,4308,78,Female,US,Philadelphia,Speciality Number Games,Wheel of Fortune,906.94,FALSE,2.94,17,26,FALSE,0,0,1,344,6,58,4,TRUE,385
26,23-04-2022,3062,79,Male,Singapore,Singapore,Speciality Number Games,Keno,174.66,TRUE,7.23,520,1,FALSE,0,0,6,389.66,4,376.17,0,TRUE,245.83
27,21-02-2024,7402,43,Male,Singapore,Singapore,Slot games,Video Slots,279.05,FALSE,4.54,635,28,TRUE,3728.96,28,2,107.5,8,986.48,2,FALSE,4187.94
28,09-02-2024,3522,80,Female,Singapore,Singapore,Slot games,Video Slots,224.84,FALSE,1.82,192,8,TRUE,3999.44,8,0,467.59,2,468.19,3,FALSE,4743.22
29,23-02-2024,7088,77,Female,UK,London,Speciality Number Games,Bingo,143.57,FALSE,3.26,479,14,TRUE,3716.88,14,4,63.57,1,453.77,0,FALSE,3755.22
30,18-07-2022,9636,23,Female,India,Ahmedabad,Slot games,3D Slots,511.4,FALSE,6.34,47,11,FALSE,0,0,7,482.09,9,787.55,0,FALSE,1222.64
31,16-09-2023,9480,68,Male,Singapore,Singapore,Slot games,Video Slots,698.78,FALSE,7.14,-337,19,FALSE,0,0,9,221.23,4,777.69,4,FALSE,1335.92
32,30-01-2024,7014,60,Female,Singapore,Singapore,Slot games,3D Slots,256.46,TRUE,5.07,-8,13,FALSE,0,0,4,116.22,6,838.28,1,FALSE,962.5
33,16-08-2022,993,67,Female,Singapore,Singapore,Speciality Number Games,Wheel of Fortune,649,FALSE,6.01,-57,15,FALSE,0,0,3,414.78,9,48.7,0,FALSE,520.48
34,10-11-2022,3632,66,Male,US,Dallas,Speciality Number Games,Keno,27.69,FALSE,7.61,403,4,TRUE,1969.36,4,3,337.98,7,803.83,3,TRUE,2708.17
35,21-05-2024,7745,35,Male,UK,Edinburgh,Table games,Blackjack,633.73,TRUE,3.96,-717,24,FALSE,0,0,3,411.27,6,904.93,2,FALSE,2033.2
36,10-09-2023,4580,78,Female,India,Ahmedabad,Slot games,3D Slots,686.99,FALSE,2.04,496,17,TRUE,4502.45,17,0,165.4,3,353.33,0,FALSE,4525.18
37,19-04-2022,9516,51,Female,India,Hyderabad,Table games,Blackjack,431.99,TRUE,2.46,-96,3,TRUE,1531.27,3,4,426.94,6,989.83,1,TRUE,3044.04
38,29-08-2024,9058,69,Female,India,Mumbai,Table games,Roulette,109.21,FALSE,2.33,-214,25,TRUE,4234.12,25,0,90.23,3,149.57,3,FALSE,4687.92
39,02-04-2024,5121,72,Female,US,San Jose,Speciality Number Games,Wheel of Fortune,893.43,FALSE,4.29,-388,15,FALSE,0,0,9,297.11,7,790.69,0,FALSE,1475.8
40,26-09-2023,4633,73,Male,Singapore,Singapore,Table games,Roulette,248.03,FALSE,6.84,-905,9,TRUE,3170.51,9,9,367.41,3,381.04,2,FALSE,4823.96
41,11-07-2023,7525,62,Female,US,Dallas,Table games,Blackjack,62.69,TRUE,5.4,-677,16,TRUE,4479.12,16,8,257.98,8,145.46,0,TRUE,5559.56
42,16-10-2022,8465,33,Female,Singapore,Singapore,Table games,Roulette,445.7,FALSE,6.19,699,16,TRUE,1474.78,16,5,123.4,3,775.43,1,FALSE,1674.61
43,07-04-2024,9019,56,Male,UK,Leeds,Slot games,Classic Slots,734.4,FALSE,4.05,447,26,FALSE,0,0,5,57.1,8,844.23,4,FALSE,454.33
